School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,Manhattan,NY,10002,40.71873,-73.97943,212-677-5190,0.34375,0.666666667,1735,0.286,0.133,0.18,0.385,657,601,601,0.91
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4773,0.333333333,0.614583333,358,0.117,0.385,0.413,0.059,395,411,387,0.789
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0143,0.354166667,0.625,383,0.031,0.282,0.569,0.086,418,428,415,0.651
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4097,0.333333333,0.649305556,416,0.017,0.031,0.055,0.889,613,453,463,0.959
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,Manhattan,NY,10002,40.71376,-73.98526,212-406-9411,0.354166667,0.645833333,255,0.039,0.244,0.566,0.132,410,406,381,0.597
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,Manhattan,NY,10002,40.71896,-73.97607,212-995-8479,0.375,0.659722222,545,0.453,0.172,0.187,0.171,634,641,639,0.708
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0745,0.355555556,0.65625,329,0.027,0.419,0.492,0.058,389,395,381,0.808
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,Manhattan,NY,10002,40.72057,-73.98567,212-473-8152,0.333333333,0.645833333,363,0.025,0.399,0.512,0.058,438,413,394,0.356
01M448,University Neighborhood High School,Manhattan,M446,200 Monroe Street,Manhattan,NY,10002,40.71233,-73.9848,212-962-4341,0.34375,0.635416667,304,0.033,0.25,0.411,0.299,437,355,352,0.699
02M543,New Design High School,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4148,0.361111111,0.622222222,441,0.039,0.308,0.569,0.059,381,396,372,0.737
02M298,Pace High School,Manhattan,M131,100 Hester Street,Manhattan,NY,10002,40.71641,-73.99268,212-334-4663,0.375,0.635416667,423,0.019,0.281,0.454,0.137,430,435,427,0.878
02M420,High School for Health Professions and Human Services,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-780-9175,0.375,0.65625,1664,0.073,0.189,0.509,0.224,452,445,430,0.869
02M399,High School for Language and Diplomacy,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-2480,0.333333333,0.645833333,437,0.057,0.204,0.403,0.311,446,433,411,0.702
02M546,Academy for Software Engineering,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-3299,0.364583333,0.65,344,0.09,0.288,0.459,0.11,453,423,415,0.734
02M533,Union Square Academy for Health Sciences,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-3110,0.333333333,0.659027778,319,0.047,0.201,0.567,0.16,428,451,423,0.672
02M438,International High School at Union Square,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-533-2560,0.364583333,0.628472222,353,0.099,0.142,0.453,0.306,403,330,316,0.532
02M407,Institute for Collaborative Education,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-475-7972,0.333333333,0.625,482,0.565,0.141,0.149,0.058,501,550,541,0.786
02M374,Gramercy Arts High School,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-7076,0.34375,0.645833333,530,0.058,0.425,0.442,0.036,446,459,455,0.796
02M551,Urban Assembly New York Harbor School,Manhattan,M877,550 Wheeler Avenue,Manhattan,NY,10004,40.69079,-74.01976,212-458-0800,0.34375,0.666666667,447,0.188,0.237,0.517,0.029,446,453,428,0.788
02M580,Richard R. Green High School of Teaching,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,646-826-8174,0.354166667,0.638888889,566,0.027,0.311,0.588,0.062,411,415,409,0.6
02M418,Millennium High School,Manhattan,M824,75 Broad Street,Manhattan,NY,10004,40.70492,-74.01151,212-825-9008,0.354166667,0.625,659,0.328,0.076,0.182,0.384,577,560,567,0.94
02M316,Urban Assembly School of Business for Young Women,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,212-668-0169,0.357638889,0.645833333,405,0.022,0.528,0.393,0.035,418,420,417,0.75
02M489,High School of Economics and Finance,Manhattan,M833,100 Trinity Place,Manhattan,NY,10006,40.70922,-74.01203,212-346-0708,0.354166667,0.645833333,796,0.072,0.229,0.471,0.217,469,442,447,0.668
02M425,Leadership and Public Service High School,Manhattan,M894,90 Trinity Place,Manhattan,NY,10006,40.70915,-74.01208,212-346-0007,0.354166667,0.614583333,699,0.044,0.279,0.619,0.039,390,396,392,0.549
01M450,East Side Community School,Manhattan,M060,420 East 12th Street,Manhattan,NY,10009,40.72978,-73.98304,212-460-8467,0.354166667,0.645833333,666,0.083,0.221,0.579,0.094,454,428,445,0.852
02M411,Baruch College Campus High School,Manhattan,M874,55 East 25th Street,Manhattan,NY,10010,40.74405,-73.99148,212-683-7440,0.347222222,0.618055556,451,0.228,0.062,0.149,0.548,592,526,531,0.943
02M047,47 American Sign Language and English Secondary School,Manhattan,M047,223 East 23rd Street,Manhattan,NY,10010,40.7386,-73.98251,917-326-6668,0.364583333,0.65625,169,0.053,0.284,0.645,0.012,573,562,581,0.483
02M413,School of the Future High School,Manhattan,M660,127 East 22nd Street,Manhattan,NY,10010,40.73895,-73.98541,212-475-8086,0.357638889,0.631944444,713,0.359,0.117,0.304,0.144,534,533,522,0.899
02M439,Manhattan Village Academy,Manhattan,M873,43 West 22nd Street,Manhattan,NY,10010,40.74149,-73.99145,212-242-8752,0.333333333,0.638888889,415,0.072,0.096,0.672,0.072,522,479,510,0.988
02M422,Quest to Learn,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-488-3645,0.375,0.659722222,564,0.242,0.219,0.415,0.087,540,529,487,0.837
02M412,NYC Lab School for Collaborative Studies,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-691-6119,0.333333333,0.618055556,587,0.46,0.06,0.155,0.276,595,550,555,0.798
02M534,Harvest Collegiate High School,Manhattan,M883,34 West 14th Street,Manhattan,NY,10011,40.73676,-73.99551,212-242-3384,0.347222222,0.636805556,333,0.168,0.222,0.523,0.069,603,587,592,0.773
02M437,Hudson High School of Learning Technologies,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-488-3330,0.364583333,0.645833333,483,0.033,0.292,0.594,0.064,378,407,388,0.718
02M392,Manhattan Business Academy,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-647-1983,0.354166667,0.635416667,438,0.039,0.281,0.621,0.034,410,407,399,0.697
02M419,Landmark High School,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-647-7410,0.364583333,0.638888889,355,0.017,0.242,0.685,0.037,386,386,386,0.306
02M600,High School of Fashion Industries,Manhattan,M600,225 West 24th Street,Manhattan,NY,10011,40.74511,-73.99591,212-255-1235,0.333333333,0.65625,1770,0.038,0.363,0.538,0.05,433,442,427,0.806
02M414,NYC Museum School,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-675-6206,0.34375,0.614583333,471,0.121,0.127,0.397,0.342,560,530,522,0.9
02M615,Chelsea Career and Technical Education High School,Manhattan,M615,131 Avenue of the Americas,Manhattan,NY,10013,40.72435,-74.00476,212-925-1080,0.354166667,0.666666667,439,0.032,0.289,0.574,0.082,439,418,400,0.804
02M376,NYC iSchool,Manhattan,M615,131 Avenue of the Americas,Manhattan,NY,10013,40.72435,-74.00476,917-237-7300,0.375,0.666666667,442,0.287,0.199,0.398,0.086,518,515,503,0.96
02M427,Manhattan Academy for Arts and Language,Manhattan,M620,111 East 33rd Street,Manhattan,NY,10016,40.74611,-73.98101,212-576-0502,0.375,0.652777778,334,0.015,0.048,0.913,0.024,350,334,321,0.461
02M500,Unity Center for Urban Technologies,Manhattan,M620,111 East 33rd Street,Manhattan,NY,10016,40.74611,-73.98101,212-576-0530,0.34375,0.666666667,284,0.049,0.275,0.588,0.06,375,385,387,0.628
02M393,Business of Sports School,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-246-2183,0.368055556,0.645833333,449,0.016,0.354,0.595,0.022,395,386,371,0.675
02M303,Facing History School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-757-2680,0.357638889,0.625,406,0.022,0.273,0.675,0.017,366,356,371,0.573
02M296,High School of Hospitality Management,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-1819,0.375,0.65625,424,0.017,0.21,0.712,0.05,451,433,424,0.562
